impl,size,distribution,seed,threads,block_size,repeats,avg_ms
omp,1000000,nearly_sorted,42,16,256,5,6.4588
omp,4000000,nearly_sorted,42,1,256,5,92.4233
omp,4000000,nearly_sorted,42,2,256,5,53.8325
omp,4000000,nearly_sorted,42,4,256,5,41.3631
omp,4000000,nearly_sorted,42,8,256,5,31.2015
omp,4000000,nearly_sorted,42,16,256,5,27.9963
omp,16000000,nearly_sorted,42,1,256,5,419.5147
omp,16000000,nearly_sorted,42,2,256,5,256.0498
omp,16000000,nearly_sorted,42,4,256,5,200.4137
omp,16000000,nearly_sorted,42,8,256,5,156.8101
omp,16000000,nearly_sorted,42,16,256,5,156.9040
omp,64000000,nearly_sorted,42,1,256,5,1791.0440
omp,64000000,nearly_sorted,42,2,256,5,1067.7325
omp,64000000,nearly_sorted,42,4,256,5,798.2415
omp,64000000,nearly_sorted,42,8,256,5,653.1452
omp,64000000,nearly_sorted,42,16,256,5,644.2068
omp,1000000,reversed,42,1,256,5,6.4473
omp,1000000,reversed,42,2,256,5,3.8385
omp,1000000,reversed,42,4,256,5,3.7352
omp,1000000,reversed,42,8,256,5,2.8795
omp,1000000,reversed,42,16,256,5,3.4240
omp,4000000,reversed,42,1,256,5,32.2327
omp,4000000,reversed,42,2,256,5,21.8405
omp,4000000,reversed,42,4,256,5,20.0050
omp,4000000,reversed,42,8,256,5,19.1470
omp,4000000,reversed,42,16,256,5,22.0610
omp,16000000,reversed,42,1,256,5,171.0191
omp,16000000,reversed,42,2,256,5,130.4468
omp,16000000,reversed,42,4,256,5,119.4178
omp,16000000,reversed,42,8,256,5,125.7712
omp,16000000,reversed,42,16,256,5,143.6827
omp,64000000,reversed,42,1,256,5,746.1014
omp,64000000,reversed,42,2,256,5,534.7510
omp,64000000,reversed,42,4,256,5,506.2013
omp,64000000,reversed,42,8,256,5,523.2616
omp,64000000,reversed,42,16,256,5,591.1937
