Implementation,Size,Distribution,Threads,BlockSize,AvgTime(ms)
CUDA,67108864,uniform,1,512,1052.2630
CUDA,64000000,uniform,1,128,1062.9842
CUDA,64000000,uniform,1,256,1040.1632
CUDA,64000000,uniform,1,512,1030.9760
CUDA,1048576,gaussian,1,128,33.8572
CUDA,1048576,gaussian,1,256,33.7815
CUDA,1048576,gaussian,1,512,33.2985
CUDA,4194304,gaussian,1,128,68.7578
CUDA,4194304,gaussian,1,256,67.4398
CUDA,4194304,gaussian,1,512,67.7050
CUDA,16777216,gaussian,1,128,254.1236
CUDA,16777216,gaussian,1,256,249.4858
CUDA,16777216,gaussian,1,512,247.3781
CUDA,67108864,gaussian,1,128,1072.7322
CUDA,67108864,gaussian,1,256,1050.2908
CUDA,67108864,gaussian,1,512,1035.4139
CUDA,64000000,gaussian,1,128,1059.2565
CUDA,64000000,gaussian,1,256,1034.2098
CUDA,64000000,gaussian,1,512,1025.2436
CUDA,1048576,nearly_sorted,1,128,35.3937
CUDA,1048576,nearly_sorted,1,256,33.9710
CUDA,1048576,nearly_sorted,1,512,34.0983
CUDA,4194304,nearly_sorted,1,128,68.2977
CUDA,4194304,nearly_sorted,1,256,67.7406
CUDA,4194304,nearly_sorted,1,512,66.0854
CUDA,16777216,nearly_sorted,1,128,246.9057
CUDA,16777216,nearly_sorted,1,256,242.0456
CUDA,16777216,nearly_sorted,1,512,240.4574
CUDA,67108864,nearly_sorted,1,128,1055.0203
CUDA,67108864,nearly_sorted,1,256,1030.3170
CUDA,67108864,nearly_sorted,1,512,1025.7601
CUDA,64000000,nearly_sorted,1,128,1042.7489
CUDA,64000000,nearly_sorted,1,256,1026.1469
CUDA,64000000,nearly_sorted,1,512,1013.8673
CUDA,1048576,reversed,1,128,33.8787
CUDA,1048576,reversed,1,256,33.5485
CUDA,1048576,reversed,1,512,33.1823
CUDA,4194304,reversed,1,128,66.4706
CUDA,4194304,reversed,1,256,65.5653
CUDA,4194304,reversed,1,512,65.0028
CUDA,16777216,reversed,1,128,239.5183
CUDA,16777216,reversed,1,256,235.7875
CUDA,16777216,reversed,1,512,233.3857
CUDA,67108864,reversed,1,128,1014.2191
CUDA,67108864,reversed,1,256,995.8649
CUDA,67108864,reversed,1,512,996.2882
CUDA,64000000,reversed,1,128,1012.2610
CUDA,64000000,reversed,1,256,985.0738
CUDA,64000000,reversed,1,512,989.8553
